tweet_id,text,retweets
1256717572373913605,Update: Got her permission with a fuck yeah. The cop pushed her so hard at Barclays &amp; she flung back. She is tiny. Now she’s in the ER after a serious seizure. I’m waiting for updates but have to wait outside because of COVID-19. Please keep my protest sister in your thoughts. https://t.co/MqV0QJ0D8h,19289
1265890872417230848,Update FedEx called and told me to take down this video and fired both of us Today .. I’m reposting this video because people like him doesn’t matter white or any race should never disrespect essential workers putting their lives in jeopardy especially with this covid-19 https://t.co/Fw0S5gNRso,19207
1266041589455077381,"Voting by mail is safe and secure. Especially during a pandemic.

But Trump continues to say – without evidence – it will lead to voter fraud and that it’s not “honest voting.”

That’s. Simply. Not. True.

RT if you support everyone being able to vote safely by mail in November.",19176
1257605489333944321,I am heartbroken and disgusted to see one of my family members a young black man w/his hands up peacefully protesting and an NYPD officer pulls down his mask and pepper sprays him. @NYCSpeakerCoJo @BPEricAdams @FarahNLouis @JumaaneWilliams @NewYorkStateAG @NYPDShea cc: @EOsyd https://t.co/tGK5XWS0bt,19139
1257065161392873476,"When you see NYPD with unlimited vans, bullets, and tear gas don’t forgot we needed a gofundme to get masks for our hospital",19088
1267141940547469312,Quarantine got me even tired of being on my phone. https://t.co/s2s7EwQ8of,19053
1257659682816241665,"Anyhow fuck trump and keep going. be safe, stay hydrated, wear your mask and again, fuck Donald Trump.",19028
1264022420601495552,This is what happens to peace. https://t.co/vWJkqfoiVn,18989
1266231100780744704,"We literally left them a 69-page Pandemic Playbook.... that they ignored  

And an office called the Pandemic Preparedness Office... that they abolished. 

And a global monitoring system called PREDICT .. that they cut by 75% https://t.co/OD94v0UI4n",18928
1264721468761481216,I didn't spend my childhood in barbed wire enclosed internment camps so I could listen to grown adults today cry oppression because they have to wear a mask at Costco.,18727
1258448981702725634,I saw this and I wanted to retweet it but the protester’s face was in it... so I cropped it but I did need this to be seen. https://t.co/wH4YfcG0n6,18613
1259377633608953857,"ripped off a hijab, kicked a pregnant woman and made her have a miscarriage, maced a child, threw a woman down so hard she had a seizure yet they’re considered heroes",18521
1256085073952034817,"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!",18429
1263259992695672832,"Me, choking my parallel universe doppelganger who has a better life than me so I can take his place. https://t.co/sPyGZY10uV",18393
1262010206852186112,Very American to decide we are bored with COVID and therefore it is over,18381
